QueryId,Query,Label
53434,PROBLEM OF MANGO HOPPER,Plant Protection
68796,TELL ME TRMIT CONTROL IN GUAGA ?,Plant Protection
68852,Information regarding weather in  Fatehabad?,Weather
68699,Fungus problem in Cow pea..?,Plant Protection
68759,Farmer needs information regarding weather  for Singrauli district of chhattisgarh state?,Weather
53435,Weed Managmant control in free Field ?,Weather
53413,FARMER  WANTS TO  KNOW  INFORMATION ABOUT WEATHERIN SINGOLI TEHSIL?,Weather
53408,sem ka flower jhad jata,Plant Protection
53418,ASKING ABOUT YELLOWING OF cotton ?,Fertilizer Use and Availability
68760,Asking about weather detail in Nagapattinam,Weather
68652,ASKING ABOUT CONTROL OF WEED IN PADDY.,Weather
68802,weather information of BEHENDAR HARDOI? SOURCE IMD,Weather
68700,ASKING ABOUT WEATHER REPORT OF DHANIAKHALI  BLOCK IN  HOOGHLY DISTRICT .,Plant Protection
68751,Leaf curling in bitter gourd..?,Plant Protection
53391,TELL ME TERMITE CONTROL IN SISUM,Plant Protection
68813,Irrigation problem in Wheat crop.....?,Cultural Practices
68743,TELL ME ABOUT THE INSECT CONTROL IN MOTH,Plant Protection
68781,SOWING TIME  OF  TULSI,Cultural Practices
68730,Farmer needs information regarding how to control sucking pestand fruit borer in brinjal crop?,Plant Protection
68812,INFORMATION REGARDING OF SOIL AND WATER TESTING ?,Cultural Practices
68684,Farmer wants to know information about weather forecast in Betul district ?,Weather
68817,TELL ME PEST CONTROL OF BARLEY,Plant Protection
68685,WEATHER REPORT IN NADIA DISTRICT,Weather
68717,ATTACK OF WHITE GRUB in groundnut ?,Plant Protection
68787,plant protection in bottle gourd......?,Plant Protection
68716,INFORMATION REGARDING THE DEFICIENCY OF IRON IN PADDY ?,Fertilizer Use and Availability
53423,TELL ME KVK UJJWA CONTECT NUMBER.,Government Schemes
68687,Asked about mealybug managenment in guava,Plant Protection
68818,TELL ME GRASS CONTROL IN OPEN FIELD,Plant Protection
68731,FOR CALLING KISAAN CALL CENTER,Field Preparation
68688,Preparation of field,Cultural Practices
53406,Asking about Foliar nutrient spray for watermelon,Nutrient Management
68732,asking about jasmine flower extended,Plant Protection
68675,weather information of kumhraur farrukhabad?,Weather
68798,fertilizer for paddy?,Fertilizer Use and Availability
68734,FERTILIZER SPRAY FOR GROWTH OF COCONUT?,Fertilizer Use and Availability
53395,Asking about Tube rose root grub management,Plant Protection
68811,how to control sundi in  okra ?,Plant Protection
68821,spray :- 100 ml nominigold (10SL) disolve in 150 litre water / acre,Weed Management
68689,Farmer need weather information of khachrod tehsil in ujjain district of madhya pradesh ?,Weather
68729,pod porer problem in gram ?,Plant Protection
68672,TELL ME JIVANU ROG IN MOONG,Plant Protection
68789,Asking about coconut top dressing fertilizer application,Nutrient Management
68673,CONTROL OF FRUIT ROT IN POINTED GOURD.,Plant Protection
68820,Asking about planting season for tapioca,Cultural Practices
68674,false smut ki problem in rice field crop,Plant Protection
68788,information regarding weed management in paddy?,Weed Management
68819,asking about Root rot in jasmine,Plant Protection
68733,"Asking about weather information,..?",Plant Protection
68782,Kharpatvar nasi...?,Plant Protection
53424,Leaf curl in pumpkin?,Plant Protection
68676,ATTACK OF SUGARCANE WOOLY APHIDS ?,Plant Protection
68784,asking about sowing time of pea...?,Cultural Practices
68725,TELL ME APHID CONTROL INCUMIN,Plant Protection
53416,Asking About Market Rate OF cotton ?,Market Information
53427,tell me control of insect in bhindi,Plant Protection
68683,Control of white fly in Paddy,Plant Protection
68815,NUTRIENT MANAGEMENT IN PADDY ?,Plant Protection
68783,Asking about leaf roller and Thrips management in groundnut,Plant Protection
68722,asking about market rate for sesame,Market Information
53428,weather  information in bareilly ?,Weather
68724,asking about dharmapuri ADA office contact number,Cultural Practices
68814,sowing time of maize,Varieties
68681,Asking about rhinoceros beetle management in coconut,Plant Protection
68785,INFOMATION ABOUT YELLOEISH LEAF OF PADDY NARSURY ?,Cultural Practices
68682,information regarding to sundi control in GUAR ?,Plant Protection
53417,TELL ME APHID CONTROL IN METHI AND TOMATO,Plant Protection
68780,weed management in sugarcane crop.,Weed Management
68680,Asking about weather detail in pandichery,Weather
68721,Farmer wants to know information about weather forcasting in seoni district ?,Weather
53425,information  about fertilizer in pea?,Plant Protection
53398,farmer want to know information about How to control of fungal attack in  coriander crop?,Plant Protection
68677,Asking about Weather report for kanniyakumari,Weather
68728,Cultural practices of brinjal crops ...?,Cultural Practices
68718,asking about vanur weather report,Weather
68719,which is used for groth.,Fertilizer Use and Availability
68726,TELL ME ABOUT WHITE GRUB CONTROL IN PEANUT,Plant Protection
68678,TELL ME CONTROL OF ROOT ROT IN bhindi,Plant Protection
68679,insect control in cotton ?,Plant Protection
53426,Farmer needs information regarding fungal attack in PADDY  crop?,Plant Protection
68786,Asking about Acid lime Growth regulator spray,Cultural Practices
53396,TELL ME NUTRIENT MANAGEMENT  ?,Field Preparation
68727,how to control flower drop in pomgranet  ?,Cultural Practices
53397,Weather forecasting for your  Rajgarh district of Madhya Pradesh?,Weather
68720,farmer  is asking about weather information ?,Weather
68833,fungas cuntrol infarmetion of ribbed gourd ?,Plant Protection
68822,aphid control on mango fruit..?,Plant Protection
68823,"plz, tell me weather information for lalganj?",Weather
68667,seedling treatment for chilly?,Plant Protection
68666,information for sheath blight  in paddy crop?,Nutrient Management
68665,LEAVES OF GRAM BECOMES RED AND DRYING OF PLANT,Plant Protection
68774,root weevil problem in paddy......?,Plant Protection
68829,please tel me about weather information...?,Weather
68773,Farmer need information regarding control measure of root rot disease in cotton crop.,Plant Protection
68772,yellowness in  paddy crop,Cultural Practices
68830,Asking about bitter top dressing fertilizer management,Fertilizer Use and Availability
68714,Asking about dharmapuri kvk contact number,Nutrient Management
68664,TELL ME ABOUT GUWER MANDI BAV ?,Market Information
68663,TELL ME ABOUT RATE OF GAR IN BIKANER MANDI ?,Market Information
68831,Asking about weather report for Tiruvarur district,Weather
68832,TELL ME CONTROL BECTERIAL BLIGHT IN GVAR,Plant Protection
68771,fertilizer dose in bottle gourd ?,Cultural Practices
68693,Farmer wants to weather information of Satna district ?,Weather
68741,Information regarding Weather in hissar.?,Weather
68792,Asked about Control of ATTACK OF APHIDS ?,Plant Protection
68807,Asking about Chennai TNAU Information and Training Centre contact number,Government Schemes
68711,stem borer in jack fruit ?,Plant Protection
68768,Fruit fly control in bottle gourd crop ?,Plant Protection
68712,Control of red strip disease in Sugarcane,Plant Protection
68769,TELL ME DIE BACK CONTROL  IN BAIL,Fertilizer Use and Availability
53402,weed managment in black gram..?,Weed Management
53407,weather of mandi ?,Field Preparation
68661,H.A.U. Helpline no.,Weather
68793,WEED CONTROL IN WHEAT CROP,Weed Management
68770,Regarding Spray In Apple Tree at Fruit Development-1st Stage?,Plant Protection
68742,TELL ME ABOUT MANDI RATE OF CUMIN,Market Information
68713,ASKED ABOUT CROP INSURANCE ?,Market Information
53430,Asking about cotton hybrid top dressing fertilizer management,Fertilizer Use and Availability
68723,TELL ME WHITEFLY CONTROL IN COTTON,Plant Protection
68694,Weather information.....?,Cultural Practices
68775,Information regarding weather report of thunag ?,Weather
68828,information for rust control in pumpkin crop?,Nutrient Management
68692,farmer want weather information ..??,Weather
68825,TELL ME CUT WORM CONTROL IN TIL ?,Plant Protection
68690,Asking about weather report for thoppampatti,Weather
68671,TERMITE INFESTATION IN WHEAT,Plant Protection
53415,DD KISAN CHANNEL CONTECT NO. DELHI ?,Government Schemes
68777,Asking about Chilli thrips And their Management,Plant Protection
53399,ASKING ABOUT THE BORDEAUX MIXTURE.,Plant Protection
68810,TELL ME  SPRAY OF MICRONUTRIENT  PAPAYA,Fertilizer Use and Availability
68715,Asking about Top fertilizer management in Brinjal,Nutrient Management
68778,forecasting for Ujjain district of Madhya Pradesh?,Cultural Practices
53405,Plant Growth & Regulators in Gherkin?,Nutrient Management
68824,Farmer wants to know about how to increase flowering in  soybean crop?,Nutrient Management
68736,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH OF BLACK GRAM ?,Nutrient Management
68790,TELL ME DISEASE CONTROL IN CHILLIES ?,Plant Protection
68735,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,Plant Protection
68737,HOW TO CONTROL FUNGAL DISEASE IN PADDY ?,Field Preparation
68779,Aphid problem in Coriander crop ....?,Plant Protection
68670,information regarding sowing time of brinjal ?,Cultural Practices
68669,ASKING ABOUT WEATHER REPORT OF INDPUR BLOCK IN BANKURA DISTRICT,Weather
68809,Weed management in pigeon pea crop?,Cultural Practices
53429,TELL ME CONTROL OF SUCKING PEST IN CHILLY,Plant Protection
68791,TELL ME APHID CONTROL IN PUMPKIN ?,Plant Protection
68827,fungal  information  in cotton crops,Fertilizer Use and Availability
68740,TELL ME ABOUT THE TERMITE CONTROL IN GROUNDNUT,Plant Protection
68668,weed management in plain field .,Weed Management
53394,farmer want to know information about how to control butterfly in cauliflower  crop?,Plant Protection
68739,TELL ME  CONTROL OF APHIDS IN JEERA   ?,Plant Protection
68776,VARIETIES OF MAIZE ?,Cultural Practices
53403,farmer want to know information about weather for dewas dist?,Weather
53404,Farmer needs information regarding how to control sucking pest in urd crop?,Plant Protection
53422,pre wilt preprection of sugarcane .....?,Plant Protection
68691,Asking about fruit flies in watermelon,Plant Protection
68826,Farmer needs information regarding weather information for mungaoli district of state chhatisgarh?,Weather
68738,TELL ME PEST CONTROL OF LAHSODA,Plant Protection
68808,Farmer wants to know information about how to control stem cutter in PADDY  crop?,Plant Protection
53480,Weed management in Paddy  ?,Weather
53437,TELL ME CONTROL OF FLOWER DROPING in pomagranate,Nutrient Management
68285,rose variety,Plant Protection
53522,Farmer needs information regarding how to control sucking pest in moong     crop?,Plant Protection
68283,Asking about weather forecast ? ASKED ABOUT INTER CROPS IN BHENDI?,Weather
68282,asking about Tirupur district today weather Report,Weather
68281,Ask about Insect Problems Suggested: Chlorpyrifos 50% + Cypermethrin 5% EC 30 ml/pump spray,Plant Protection
68280,tell me control of insect in citrus,Plant Protection
68279,Which fertilizer and nutrient give for better growth in  brinjal crop?,Cultural Practices
68278,ASKING ABOUT CONTROL OF MEALY BUG IN HIBISCUS,Plant Protection
53523,Gram pod borer control in Bengal gram crop /,Plant Protection
68277,Fungus controll in the mango.......?,Plant Protection
68276,"plz, tell me weather information for karhal?",Weather
68275,farmer wants to weather information of your ratlam district?,Weather
68274,information about weather of bulandshahar ?,Weather
68273,TELL ME ABOUT THE INSECT CONTROL IN  GUAR,Plant Protection
68272,Information of agricultural machinery   ....?,Weather
68286,paddy leaf folder and Shoot borer management,Plant Protection
68271,variety of barseem ?,Varieties
68287,Treatment Of Potato Seed,Plant Protection
68289,Asking about drum stick flower dropping control .,Cultural Practices
68304,Plant protection in capsicum?,Plant Protection
68303,TELL ME CONTROL YELLOW MAJAK IN MOONG,Weather
68302,ASKING ABOUT THE CONTROL MEASURE FOR LITCHI ERINONE MITE CAUSING LEAF CURLING WITH VELVETI STRUCTURE.,Plant Protection
68301,"TELL ME CONTACT NO. OF DHINDHOL FARM, BASSI, JAIPUR",Weather
68300,Stem borer in sugarcane ?,Plant Protection
68299,farmer want to know information about Which fertilizer and nutrient give for better growth in urd bean  crop?,Fertilizer Use and Availability
68298,Leaf hopper in Urd crop ?,Plant Protection
68297,information for guava plant?,Nutrient Management
68296,about weather  information?,Varieties
53520,Asking about Banana planting spacing,Cultural Practices
68293,plant protection in bail ?,Plant Protection
53521,Asking about black ant management in sugarcane field,Cultural Practices
68292,control for stem borer in paddy crop ?,Weather
68291,Farmer want to know information about weather of Sehore  dist. ?,Weather
68290,weed control in pumpkin..?,Cultural Practices
68288,How to control tobacco caterpillars in soyabean crop?,Plant Protection
68305,Asking about weather detail in karur,Weather
53524,Farmer wants to know information about weather forecast of Sheopur  district?,Weather
68269,Aphids control in mustard..?,Plant Protection
68254,fruit rot in pumpkin and bottle gourd?,Plant Protection
68253,control of fruit borer  in Bottle gourd  crop?,Plant Protection
68252,Information regarding weather of Rewari  ?,Weather
68251,asking about govt. schemes information,Government Schemes
68250,Asking about Spotted pod borer in greengram,Plant Protection
68249,About vegetable crop ?,Cultural Practices
68248,asking about Navarai season paddy varieties,Cultural Practices
53532,Leaf curl in papaya?,Plant Protection
68247,Weather information...?,Varieties
68246,asking about flower Webber management in  mango,Plant Protection
68245,TELL ME INSECT CONTROL IN ISABGOLE ?,Plant Protection
68244,TELL ME CONTROL OF BACTERIAL BLIGHT DISEASE IN SOYABEAN,Nutrient Management
68243,Farmer needs information regarding weather  for    district of madhyapradesh  state?,Weather
68242,farmer want to know about weather information,Weather
68241,viral disease in chikpea?,Plant Protection
68255,Farmer need weather information of seoni district of madhya pradesh.?,Weather
68270,tell me control of disease in opium popy,Plant Protection
53531,Asking about intercrop in muringa,Nutrient Management
68257,Information regarding weather Ksrnal?,Weather
68268,TELL ME  Irrigation in gram crop,Cultural Practices
68266,TELL ME  TERMAITE CONTROL IN COTTON,Plant Protection
68265,Information regarding  weather in  sonipat?,Weather
68264,Season of sowing OF CHILLI,Cultural Practices
53526,fungal  information n point gourd,Plant Protection
68263,TELL ME CONTROL OF FUNGUS IN CHILLIES,Plant Protection
68262,Information regarding control of blight in beans?,Plant Protection
53527,Termite problem in Paddy crop.....?,Plant Protection
68261,information about paddy...?,Weather
68260,Farmer wants to know about how to control Phalaris minor in wheat crop?,Cultural Practices
68259,How to control tobacco caterpillars or pod borer in soyabean crop?,Plant Protection
53528,information regarding the control of shoot borer in sugarcane ?,Plant Protection
68258,leaf folder control of paddy ? ?,Cultural Practices
53529,FRUIT DROPPING IN MANGO..?,Nutrient Management
53530,termite control in paddy crops..?,Plant Protection
68256,ASKING ABOUT THE WEATHER REPORT OF MAYURESWAR-I BLOCK IN BIRBHUM DISTRICT,Weather
68240,problem of mango...?,Plant Protection
68306,Nutrient Management In Sugarcane Crop   ?,Nutrient Management
68308,"pls, tell me weather information for hathras?",Weather
68356,Asking about Root rot disease management in chilly,Plant Protection
68355,Weather forecasting for ashoknagar district of Madhya Pradesh?,Weather
68354,Asking about Mullai Flower planting season,Cultural Practices
68353,Farmer wants to  know information about weather of Your  district?,Cultural Practices
68352,asking about Leaf blight management in tomato,Plant Protection
68351,weed problem in maize,Weed Management
68350,Farmer wants to know information about weather of their Udaipura district?,Weather
68349,ASKING ABOUT THE CULTURAL PRACTICES RICE .,Cultural Practices
53509,ROOT BORER CONTROL IN PADDY CROP...........?,Plant Protection
68348,Sugarcane inter cropping menagement,Nutrient Management
68347,nutrient management in peas?,Nutrient Management
68346,Weather information of Aznnghr ?,Weather
53511,wheat aphi & rust problem in wheat crop,Plant Protection
68345,asking about TNAU fruits dept. contact no.,Nutrient Management
68344,TELL ME ABOUT TERMITE CONTROL IN CROPS ?,Plant Protection
68357,asking ABOUT cocoon market price,Market Information
68343,asked about attack of Caterpillar on soybean ?,Plant Protection
68358,TELL ME APHID CONTROL ?,Weather
53508,fungal problem in mango crop .,Plant Protection
53503,plant protection of paddy crop..?,Fertilizer Use and Availability
68372,Asking about weather information ?,Weed Management
68371,INFORMATION REGARDING CONTROL OF SHOOT-FLY IN SORGHUM ?,Cultural Practices
68370,Information regarding weather in thanesar?,Weather
53504,TELL ME SUBSIDY ON VERMICOMPOST UNI,Government Schemes
68368,"PLZ, TELL ME WEATHER INFORMATION FOR BARABANKI?",Weather
53505,VVARIETIES OF MOONG......?,Varieties
68366,"plzz, tell me weather information for mahroni?",Weather
68365,information of solar pump yojana ?,Government Schemes
53507,"ASKED ABOUT GOVT SCHEMES,",Government Schemes
68364,TELL ME DISEASE CONTROL OF COWPEA,Plant Protection
68363,INFORMATION REGARDING MORE BENEFIT PLANT NUTRIENT AT 90 DAY OLD WHEAT CROP ?,Nutrient Management
68362,Farmer want to know information about weather of your bhopal  district?,Field Preparation
68361,TELL ME CONTROL SHOOT AND FRUIT BORER IN BRINJAL.,Plant Protection
68360,Information regarding weathe  ?,Weather
68359,FARMER ASKED ABOUT PREPARATION OF BORDO MIXTURE ?,Plant Protection
68307,weather iformation in lalitpur ?,Weather
68342,Asked about Villupuram weather report information,Weather
68340,farmer want to know information about how to control sucking pest in  soybean crop?,Plant Protection
53516,Weather Information District Sitapur.....?,Weather
68321,asking about ATTACK OF LEAF EATING CATERPILLAR in soybean  ?,Plant Protection
53517,PROBLEM OF LEAF FALLING IN BRINJAL.,Plant Protection
68320,Asking about Gall midge in paddy,Nutrient Management
68319,information regarding control of termite in paddy ?,Plant Protection
68318,asking about Groundnut hairy caterpillar management,Plant Protection
68317,information about fungal problem in kapas ?,Plant Protection
68316,how to control bakni disease in paddy .,Field Preparation
53518,tell me control of mosquito pest in lemon plant and dye back control,Plant Protection
68314,Farmer needs information regarding weather  for manora block of washim district of maharastra state?,Weather
68313,asking about Pruning management in Mango,Cultural Practices
68312,TELL ME MSP IN MUSTARD,Plant Protection
68311,information for control mahu in wheat crop?,Nutrient Management
68310,REGARDING THE PIN SCAB IN APPLE,Plant Protection
68309,good growth for sesame?,Cultural Practices
68323,TELL ME WEATHER REPORT IN UDAIPUR,Weather
68341,TELL ME CONTROL COLLOR ROT PROBLEM IN GROUNDNUT,Weather
68324,information about wathear candition,Weather
68326,tell me contact Krishi Vigyan Kendra Sriganganagar,Market Information
53513,leaf folder insect in paddy crop,Plant Protection
68339,flower dropped problem in papaya fruit..?,Fertilizer Use and Availability
68338,black rust in wheat crop ...?,Field Preparation
68337,INFORMATION REGARDING TO CONTROL FUNGUS PROBLEM IN ROOT OF LENTIL?,Plant Protection
68336,farmer want to know information about How to control of fungal attack in urd crop?,Plant Protection
68335,TELL ME CONTROL OF FUNGES IN PAPAYA,Plant Protection
68334,farmer wants to weather information of rajgarh  district ?,Weather
68333,Water melon Fusarium Wilt Management,Plant Protection
53514,asking about thrips control in bitter gourd,Plant Protection
68332,termite in paddy crop...?,Plant Protection
68331,Asked about jasmine growth regulator,Cultural Practices
68330,ASKING ABOUT CONTROL MEASURE OF ANTHRACNOSE IN CHILLI,Plant Protection
68329,Zaid maize verity information?,Varieties
68328,TELL ME ABOUT ASK FOR MUSHROOM CULTIVATION ?,Government Schemes
68327,insect  control in radish,Plant Protection
68325,information about cotton ?,Cultural Practices
68239,INFORMATION REGARDING CONTROL OF BLIGHT IN TOMATO?,Plant Protection
68238,Plant protection of pomegranate ?,Plant Protection
68237,Aphid control in wheat ?,Plant Protection
68153,Asking about sugarcane Wooly Aphid management,Plant Protection
68152,Asking about Chilli Tobacco cutworm Management,Plant Protection
53552,Asking about Uzhavar card information,Government Schemes
68150,Regarding weedicide problem in Apple Orchard?,Plant Protection
68149,plant protection of bail.....?,Plant Protection
68148,information regarding for soil treatment befor transplanting of new apple plants,Cultural Practices
53553,TELL ME INSECT CONTROL IN fenugreek,Plant Protection
68147,Asking about leaf spot in coleus,Nutrient Management
68146,information for flower droping in lemon crop?,Nutrient Management
68145,TELL ME contact telephone number goat rearing,Market Information
68144,TELL ME INECT CONTROL OF GRAM ?,Plant Protection
53554,Plant protection in Wheat ?,Field Preparation
68143,Asked about attack of sucking pest on turmeric ?,Plant Protection
68142,Asked about chilli Yellow mite or muranai mite,Plant Protection
68141,Weather information District Kanpur City....?,Weather
68154,Farmer needs information regarding weather for khandwa dist. of state madhya pradesh?,Weather
68140,Asking about Banana bunchy top virus management in banana,Plant Protection
53550,asking about flower dropping management in cherry,Nutrient Management
68156,WEATHER REPORT OF BANKURA,Weather
68170,Information regarding about weather of haroli?,Weather
53547,Asked about bitter gourd  mosaic virus management,Plant Protection
68168,Information about sesame (Til )species ?,Cultural Practices
68167,CITRUS WEED MANAGEMENT,Plant Protection
68166,teLL ME LEAF MINER CONTROL IN MOONG,Plant Protection
68165,Information regarding to weather in bhiwani ?,Weather
68164,weather forecast ?,Field Preparation
68163,TELL ME ABOUT CONTROL OF THRIPS IN COTTON ?,Plant Protection
68162,asking about Sesamum market rate at Villupuram,Market Information
68161,SITAPUR--RAMPUR MATHURA--WEATHER REPORT.....?,Weather
68160,asking about chilli boron deficiency management,Nutrient Management
68159,Farmer  wants  to know information about how to control shoot borer in brinjal crop?,Plant Protection
53548,Red rust in guava?,Cultural Practices
53549,flower dropping in pomegranate tree,Cultural Practices
68157,WEED MANAGEMENT IN SOYABEAN ? Spray Pursuit (Imazethapyr) 20 ml/10 liter of water,Weed Management
68155,NUTRIENT FOR RAJMA,Nutrient Management
68171,Asking about Top fertilizer management in Jasmine,Nutrient Management
68139,TELL ME FROST CONTROL IN LOKI,Plant Protection
68137,TERMITE,Plant Protection
68121,Asking about Sugarcane trash composting information,Fertilizer Use and Availability
53561,ASKED ABOUT FERTILIZER DOSE FOR MANGO ?,Nutrient Management
68119,Asked about Banana sigatoka leaf spot,Plant Protection
68118,farmer wants to know weather information of Rewa district?,Weather
53562,Shoot and fruit borer in brinjal..?,Plant Protection
68116,problem of flower / fruit fall in aonla ?,Plant Protection
68115,Termite in sugarcane field ?,Plant Protection
68114,farmer want to know information about  weather of your morena district ?,Weather
68113,Fertilizer use in Paddy?,Fertilizer Use and Availability
53563,farmer want to know about weather information for jabalpur district?,Weather
68111,"Heavy Cloudy weather in your area,chance of rain in your area",Field Preparation
68110,TELL ME ABOUT DISEASE CONTROL IN MOTH,Plant Protection
68109,TELL ME CONTROL THRIPS IN BHINDI,Weather
68108,Control top shoot borer in sugarcane crops ...?,Plant Protection
68107,asking about leaf spot in watermelon,Plant Protection
68122,TELL ME INSECT CONTROL IN LENTIL ?,Plant Protection
68138,TELL ME ABOUT BLACK LEAVES CONTROL IN COTTON,Plant Protection
68123,ptoblem of topshoot borer in the sugaracane crop...?,Plant Protection
68125,banana nutrient management,Nutrient Management
68136,Information regarding Weather of hisar  ?,Weather
68135,TELL ME INSECT CONTROLE IN MOTH ?,Plant Protection
68134,Mango planofix spre,Fertilizer Use and Availability
68133,Asking about Melia dubia termites management,Fertilizer Use and Availability
53555,WEATHER INFORMATINON ?,Weather
53556,technical problem in  DBT,Government Schemes
53557,VARIETIES OF  LOBIA,Cultural Practices
53558,ATTACK OF LEAF EATING CATERPILLAR ?,Weather
68131,weed control of motha in the sugarcane crop...?,Weed Management
68130,Asking about sowing spacing for bitter gourd,Cultural Practices
68129,growth promoter of ginger ?,Cultural Practices
68128,TELL ME CONTROL POD BORER,Cultural Practices
68127,ATTACK OF LEAF EATING CATERPILLAR ? ???? ?????? ???,Plant Protection
53559,ASK ABOUT IN TAL INFORMATION.,Cultural Practices
68126,Asking about paddy Thrips management,Plant Protection
